Timestamp,RSSI_Downlink,Status
2025-09-01 18:56:54.624,-74.00,Sucesso
2025-09-01 18:56:55.634,-74.00,Sucesso
2025-09-01 18:56:56.650,-74.00,Sucesso
2025-09-01 18:56:57.664,-74.00,Sucesso
2025-09-01 18:56:58.709,-74.00,Sucesso
2025-09-01 18:56:59.744,-74.00,Sucesso
2025-09-01 18:57:00.772,-74.00,Sucesso
2025-09-01 18:57:01.779,-74.00,Sucesso
2025-09-01 18:57:02.788,-73.00,Sucesso
2025-09-01 18:57:03.914,-73.00,Sucesso
2025-09-01 18:57:04.925,-73.00,Sucesso
2025-09-01 18:57:05.939,-73.00,Sucesso
2025-09-01 18:57:06.955,-73.00,Sucesso
2025-09-01 18:57:07.985,-73.00,Sucesso
2025-09-01 18:57:09.004,-74.00,Sucesso
2025-09-01 18:57:10.072,-73.00,Sucesso
2025-09-01 18:57:11.090,-73.00,Sucesso
2025-09-01 18:57:12.150,-73.00,Sucesso
2025-09-01 18:57:13.208,-74.00,Sucesso
2025-09-01 18:57:14.223,-73.00,Sucesso
2025-09-01 18:57:15.235,-73.00,Sucesso
2025-09-01 18:57:16.283,-73.00,Sucesso
2025-09-01 18:57:17.336,-74.00,Sucesso
2025-09-01 18:57:18.349,-73.00,Sucesso
2025-09-01 18:57:19.362,-74.00,Sucesso
2025-09-01 18:57:20.375,-74.00,Sucesso
2025-09-01 18:57:21.391,-74.00,Sucesso
2025-09-01 18:57:22.421,-75.00,Sucesso
2025-09-01 18:57:23.437,-75.00,Sucesso
2025-09-01 18:57:24.450,-75.00,Sucesso
2025-09-01 18:57:25.464,-75.00,Sucesso
2025-09-01 18:57:26.473,-75.00,Sucesso
2025-09-01 18:57:27.483,-75.00,Sucesso
2025-09-01 18:57:28.492,-75.00,Sucesso
2025-09-01 18:57:29.531,-75.00,Sucesso
2025-09-01 18:57:30.539,-75.00,Sucesso
2025-09-01 18:57:31.554,-75.00,Sucesso
2025-09-01 18:57:32.580,-74.00,Sucesso
2025-09-01 18:57:33.608,-74.00,Sucesso
2025-09-01 18:57:34.702,-74.00,Sucesso
2025-09-01 18:57:35.728,-74.00,Sucesso
2025-09-01 18:57:36.738,-73.00,Sucesso
2025-09-01 18:57:37.750,-73.00,Sucesso
2025-09-01 18:57:38.889,-72.00,Sucesso
2025-09-01 18:57:39.899,-73.00,Sucesso
2025-09-01 18:57:40.926,-74.00,Sucesso
2025-09-01 18:57:41.951,-74.00,Sucesso
2025-09-01 18:57:42.968,-74.00,Sucesso
2025-09-01 18:57:43.990,-74.00,Sucesso
2025-09-01 18:57:45.013,-74.00,Sucesso
2025-09-01 18:57:46.025,-74.00,Sucesso
2025-09-01 18:57:47.038,-74.00,Sucesso
2025-09-01 18:57:48.046,-74.00,Sucesso
2025-09-01 18:57:49.053,-74.00,Sucesso
2025-09-01 18:57:50.063,-74.00,Sucesso
2025-09-01 18:57:51.107,-74.00,Sucesso
2025-09-01 18:57:52.124,-74.00,Sucesso
2025-09-01 18:57:53.147,-74.00,Sucesso
2025-09-01 18:57:54.157,-74.00,Sucesso
2025-09-01 18:57:55.165,-74.00,Sucesso
2025-09-01 18:57:56.178,-74.00,Sucesso
2025-09-01 18:57:57.192,-73.00,Sucesso
2025-09-01 18:57:58.238,-73.00,Sucesso
2025-09-01 18:57:59.252,-73.00,Sucesso
2025-09-01 18:58:00.269,-73.00,Sucesso
2025-09-01 18:58:01.286,-74.00,Sucesso
2025-09-01 18:58:02.342,-74.00,Sucesso
2025-09-01 18:58:03.390,-74.00,Sucesso
2025-09-01 18:58:04.400,-73.00,Sucesso
2025-09-01 18:58:05.494,-73.00,Sucesso
2025-09-01 18:58:06.509,-74.00,Sucesso
2025-09-01 18:58:07.517,-74.00,Sucesso
2025-09-01 18:58:08.554,-74.00,Sucesso
2025-09-01 18:58:09.567,-74.00,Sucesso
2025-09-01 18:58:10.577,-74.00,Sucesso
2025-09-01 18:58:11.613,-74.00,Sucesso
2025-09-01 18:58:12.622,-74.00,Sucesso
2025-09-01 18:58:13.636,-73.00,Sucesso
2025-09-01 18:58:14.647,-73.00,Sucesso
2025-09-01 18:58:15.672,-73.00,Sucesso
2025-09-01 18:58:16.685,-74.00,Sucesso
2025-09-01 18:58:17.692,-74.00,Sucesso
2025-09-01 18:58:18.755,-74.00,Sucesso
2025-09-01 18:58:19.766,-74.00,Sucesso
2025-09-01 18:58:20.784,-74.00,Sucesso
2025-09-01 18:58:21.846,-74.00,Sucesso
2025-09-01 18:58:22.872,-74.00,Sucesso
2025-09-01 18:58:23.897,-74.00,Sucesso
2025-09-01 18:58:24.930,-74.00,Sucesso
2025-09-01 18:58:25.950,-74.00,Sucesso
2025-09-01 18:58:26.959,-74.00,Sucesso
2025-09-01 18:58:27.968,-74.00,Sucesso
2025-09-01 18:58:28.977,-74.00,Sucesso
2025-09-01 18:58:29.987,-74.00,Sucesso
2025-09-01 18:58:30.997,-74.00,Sucesso
2025-09-01 18:58:32.022,-74.00,Sucesso
2025-09-01 18:58:33.035,-74.00,Sucesso
2025-09-01 18:58:34.047,-74.00,Sucesso
2025-09-01 18:58:35.080,-74.00,Sucesso
2025-09-01 18:58:36.090,-74.00,Sucesso
2025-09-01 18:58:37.120,-73.00,Sucesso
2025-09-01 18:58:38.132,-73.00,Sucesso
2025-09-01 18:58:39.145,-73.00,Sucesso
2025-09-01 18:58:40.158,-73.00,Sucesso
2025-09-01 18:58:41.166,-74.00,Sucesso
2025-09-01 18:58:42.177,-74.00,Sucesso
2025-09-01 18:58:43.186,-74.00,Sucesso
2025-09-01 18:58:44.213,-74.00,Sucesso
2025-09-01 18:58:45.223,-74.00,Sucesso
2025-09-01 18:58:46.232,-74.00,Sucesso
2025-09-01 18:58:47.267,-74.00,Sucesso
2025-09-01 18:58:48.276,-74.00,Sucesso
2025-09-01 18:58:49.286,-74.00,Sucesso
2025-09-01 18:58:50.296,-74.00,Sucesso
2025-09-01 18:58:51.305,-74.00,Sucesso
2025-09-01 18:58:52.320,-74.00,Sucesso
2025-09-01 18:58:53.354,-74.00,Sucesso
2025-09-01 18:58:54.363,-74.00,Sucesso
2025-09-01 18:58:55.375,-73.00,Sucesso
2025-09-01 18:58:56.397,-74.00,Sucesso
2025-09-01 18:58:57.414,-74.00,Sucesso
2025-09-01 18:58:58.429,-74.00,Sucesso
2025-09-01 18:58:59.443,-74.00,Sucesso
2025-09-01 18:59:00.457,-75.00,Sucesso
2025-09-01 18:59:01.467,-75.00,Sucesso
2025-09-01 18:59:02.477,-75.00,Sucesso
2025-09-01 18:59:03.492,-75.00,Sucesso
2025-09-01 18:59:04.502,-75.00,Sucesso
2025-09-01 18:59:05.511,-75.00,Sucesso
2025-09-01 18:59:06.522,-75.00,Sucesso
2025-09-01 18:59:07.529,-75.00,Sucesso
2025-09-01 18:59:08.542,-75.00,Sucesso
2025-09-01 18:59:09.574,-75.00,Sucesso
2025-09-01 18:59:10.587,-75.00,Sucesso
2025-09-01 18:59:11.601,-75.00,Sucesso
2025-09-01 18:59:12.612,-75.00,Sucesso
2025-09-01 18:59:13.627,-75.00,Sucesso
2025-09-01 18:59:14.636,-75.00,Sucesso
2025-09-01 18:59:15.663,-75.00,Sucesso
2025-09-01 18:59:16.672,-75.00,Sucesso
2025-09-01 18:59:17.691,-75.00,Sucesso
2025-09-01 18:59:18.711,-75.00,Sucesso
2025-09-01 18:59:19.720,-74.00,Sucesso
2025-09-01 18:59:20.737,-73.00,Sucesso
2025-09-01 18:59:21.749,-73.00,Sucesso
2025-09-01 18:59:22.765,-73.00,Sucesso
2025-09-01 18:59:23.772,-73.00,Sucesso
2025-09-01 18:59:24.795,-74.00,Sucesso
2025-09-01 18:59:25.813,-74.00,Sucesso
2025-09-01 18:59:26.827,-75.00,Sucesso
2025-09-01 18:59:27.868,-73.00,Sucesso
2025-09-01 18:59:28.891,-77.00,Sucesso
2025-09-01 18:59:29.898,-77.00,Sucesso
2025-09-01 18:59:30.911,-72.00,Sucesso
2025-09-01 18:59:31.922,-76.00,Sucesso
2025-09-01 18:59:32.950,-78.00,Sucesso
2025-09-01 18:59:33.963,-77.00,Sucesso
