Timestamp,Luminosidade
2025-09-01 18:46:25.435,162
2025-09-01 18:46:30.532,162
2025-09-01 18:46:35.681,162
2025-09-01 18:47:37.247,164
2025-09-01 18:47:42.269,162
2025-09-01 18:47:54.187,162
2025-09-01 18:47:59.252,163
2025-09-01 18:48:04.570,162
2025-09-01 18:48:09.789,162
2025-09-01 18:48:14.806,163
2025-09-01 18:49:41.071,164
2025-09-01 18:49:46.103,164
2025-09-01 18:49:51.206,163
2025-09-01 18:49:56.419,164
2025-09-01 18:50:01.637,163
2025-09-01 18:50:06.869,163
2025-09-01 18:50:12.075,164
2025-09-01 18:50:17.296,163
2025-09-01 18:50:22.620,163
2025-09-01 18:50:33.158,164
2025-09-01 18:50:38.275,163
2025-09-01 18:50:43.494,163
2025-09-01 18:50:48.711,163
2025-09-01 18:50:53.731,164
2025-09-01 18:50:58.843,163
2025-09-01 18:51:03.858,164
2025-09-01 18:51:08.974,164
2025-09-01 18:51:14.193,164
2025-09-01 18:51:19.511,163
2025-09-01 18:51:24.528,164
2025-09-01 18:51:29.745,164
2025-09-01 18:51:34.761,163
2025-09-01 18:51:39.979,164
2025-09-01 18:51:45.107,164
2025-09-01 18:51:50.225,164
2025-09-01 18:51:55.334,164
2025-09-01 18:52:00.589,164
2025-09-01 18:52:05.676,164
2025-09-01 18:52:10.693,163
2025-09-01 18:52:15.717,163
2025-09-01 18:52:20.815,163
2025-09-01 18:52:25.932,163
2025-09-01 18:52:38.008,164
2025-09-01 18:52:43.155,164
2025-09-01 18:52:48.243,164
2025-09-01 18:52:53.363,164
2025-09-01 18:52:58.485,163
2025-09-01 18:53:03.692,163
2025-09-01 18:53:08.910,164
2025-09-01 18:53:14.031,164
2025-09-01 18:53:19.147,163
2025-09-01 18:53:24.470,164
2025-09-01 18:53:29.488,163
2025-09-01 18:53:34.601,164
2025-09-01 18:53:39.718,164
2025-09-01 18:53:44.934,164
2025-09-01 18:53:50.056,164
2025-09-01 18:53:55.275,163
2025-09-01 18:54:00.419,163
2025-09-01 18:54:05.514,164
2025-09-01 18:54:17.583,164
2025-09-01 18:54:22.798,164
2025-09-01 18:54:27.817,163
2025-09-01 18:54:33.036,164
2025-09-01 18:54:38.159,164
2025-09-01 18:54:43.275,163
2025-09-01 18:54:48.388,163
2025-09-01 18:54:53.792,163
2025-09-01 18:54:58.826,163
2025-09-01 18:55:04.040,163
2025-09-01 18:55:09.259,164
2025-09-01 18:55:14.581,164
2025-09-01 18:55:19.800,164
2025-09-01 18:55:25.010,163
2025-09-01 18:55:30.043,163
2025-09-01 18:55:35.159,164
2025-09-01 18:55:40.393,164
2025-09-01 18:55:45.490,164
2025-09-01 18:55:50.606,164
2025-09-01 18:55:55.729,163
2025-09-01 18:56:00.843,164
2025-09-01 18:56:05.961,164
2025-09-01 18:56:11.073,164
2025-09-01 18:56:16.289,163
2025-09-01 18:56:21.526,164
2025-09-01 18:56:26.916,164
2025-09-01 18:56:31.971,164
2025-09-01 18:56:37.069,164
2025-09-01 18:56:42.189,163
2025-09-01 18:56:43.413,164
2025-09-01 18:56:44.434,164
2025-09-01 18:56:45.458,164
2025-09-01 18:56:46.473,163
2025-09-01 18:56:47.493,164
2025-09-01 18:56:48.502,163
2025-09-01 18:56:49.554,164
2025-09-01 18:56:50.566,164
2025-09-01 18:56:51.576,164
2025-09-01 18:56:52.587,163
2025-09-01 18:56:53.598,164
2025-09-01 18:56:54.624,164
2025-09-01 18:56:55.634,164
2025-09-01 18:56:56.650,164
2025-09-01 18:56:57.664,164
2025-09-01 18:56:58.709,163
2025-09-01 18:56:59.744,164
2025-09-01 18:57:00.772,164
2025-09-01 18:57:01.779,164
2025-09-01 18:57:02.788,164
2025-09-01 18:57:03.914,164
2025-09-01 18:57:04.925,164
2025-09-01 18:57:05.939,164
2025-09-01 18:57:06.955,164
2025-09-01 18:57:07.985,164
2025-09-01 18:57:09.004,164
2025-09-01 18:57:10.072,163
2025-09-01 18:57:11.090,164
2025-09-01 18:57:12.150,164
2025-09-01 18:57:13.208,164
2025-09-01 18:57:14.223,164
2025-09-01 18:57:15.235,164
2025-09-01 18:57:16.283,164
2025-09-01 18:57:17.336,164
2025-09-01 18:57:18.349,164
2025-09-01 18:57:19.362,164
2025-09-01 18:57:20.375,163
2025-09-01 18:57:21.391,164
2025-09-01 18:57:22.421,164
2025-09-01 18:57:23.437,164
